（西皮摇板）, 心儿 里 最 可气 将军 廉颇   任 私意 全 不管 百姓 死活   吞着 声 忍着 气 回车 避过   国 不和 又 恐怕 敌人 知觉
（西皮原板）, 可笑 那廉 将军 性烈 如火   无端 的 起 下 了 平地 风波
（西皮摇板）, 实 服了 蔺相如 真 有 韬略   为 国家 敌 外人 甘 让 廉颇
（西皮摇板）, 我 当初 也 不过 区区 门客   又 何必 妄自 尊 不 顾 赵国
（西皮导板）, 蔺相 如在 长街 两 次 避躲
（西皮原板）, 这 件 事 叫 老夫 大 费 揣摩   莫非 他 明 退让 暗害 与 我   莫非 他 弃官职 私通 了 外国   也 不 知 葫芦 中 卖 的 甚么 药   因此 上 我 迷迷糊糊
（西皮摇板）, 蔺相如 他 真是 聪明 不过   又有德 又 有 量智广 才 多
（西皮二六板）, 自 古道 非 圣贤 孰能无过   人 有 过 勿惮改 便是 美德   他 为公 我 为是 私 是 我 之 错   见识 浅 度量 小 羞死 廉颇   叫人 来 换 青衣 荆杖 看过
（西皮正板）, 看 秦 人似 虎狼 其 心 叵测   这时候 万 不 可 大臣 失和   将 与 相 一 殿 臣论 甚么 强弱   文 与 武 两 班 分 讲 甚么 官爵   笑 廉颇 虽 年老 性如 烈火   我 愈 让 他 愈欺于 理 不合
（西皮二六板）, 劝 将军 你 莫 要 赔罪 认 过   蔺相 如与 将军 同是 一 国   非 圣人 谁 莫 有 一 差 半 错   何况 你 光明磊落
（数板）, 三月 艳阳天
（唢呐二黄原板）, 黑暗暗 雾 沉沉 随风 飘荡   冷飕飕 凄惨惨 转回 家乡   我 主爷 来 吊孝 龙 驾 光降   众 王侯见 灵台 也 要 悲伤   叫 鬼卒
（唢呐二黄原板）, 驾 阴风 急忙
（唢呐二黄散板）, 前往
（唢呐二黄散板）, 可叹 我 英雄汉 乱 箭 身亡
（内二黄导板）, 天下荒 荒无 真主
（二黄原板）, 青龙 投胎 太原郡   那 燕山 又 降下 白虎星   俺 生 在 罗门 为 公子   长大成人 武艺 超群   一十七 岁 保 唐主   俺 也 曾 东荡西除
（二黄原板）, 又 只见 我 主爷 瞌睡 沉沉   众 国公 一 个个 俱 已 困   苦命 的 娇妻 伴 我 灵   义子 罗春身 戴孝   最 可叹 无依无靠
（西皮导板）, 恨 只 恨 三千 岁 挂 了 帅印
（西皮慢板）, 俺 罗成 倒 作 了 马前 先行   头 一 阵 枪 挑了 李天寿   有功 不 赏 反 加刑
（西皮二六板）, 午时 正   午时 杀到 夜 黄昏   紧闭 四 门
（西皮快板）, 不得进   单 人 独 骑 我 杀退 贼兵   淤泥 河
（西皮摇板）, 若要 君臣 重 相会   大破 龙门 臣见君
（西皮慢板）, 有 小生 少年 时 父 亡 母寡   娶 舍 妻 也 算得 贤良 姣娃   住 几 间 破 草房 房屋 不大   家 贫穷 全 靠着 仿写 字画
（西皮慢板）, 拜 天地 入洞 房 何 言 为 假   尊 一 声 解元爷 细 听 根芽   你 救我 不 死 那 钢刀 之下   像 这样 大人 情 怎样 报答
（西皮原板）, 适才 间 我 救 你 钢刀 之下   不过 是 恻隐心 暂且 允答   你 本 是 贵人 妻 必 真 不假   说 这些 不 中听 惹人 笑话
（西皮慢板）, 解元爷 只 生 得 十分 好看   他 好比 小潘郎俱 是 一般   我 只得 上床 去 罗帐 高悬   今夜 晚 但 看他 怎样 终场
（西皮原板）, 想起 了 我 的 娘 吩咐 之 话   她 叫我 中途路 少 要 贪 花   我 本 是 鱼 得 水 还 未 变化   此 一 去 跳 龙门 舞爪 伸 牙
（西皮慢板）, 与 解元 对 坐在 洞房 之下   你 听我 把 此话 细说 根芽   我 本 是 闺门 女 必 真 不假   为什么 今夜 晚 不睬 奴 家
（西皮原板）, 今夜 晚 非 是 我 装聋 卖哑   都 只为 少 华山 男女 混杂   但愿 得 咱 二 人 同 把 山下   你 往东 我 往西 各 奔 天涯
（西皮原板）, 解元爷 讲 的 是 离别 之 话   倒 叫 我 一 阵阵 意 软 心 麻   到 明天 我 二 人 同 把 山下   下山 去 咱 二 人 再 作 计法
（西皮摇板）, 四 面 俱 是 曹兵将   误 中 诡计 困 山岗   眼望下邳 火 光亮
（西皮摇板）, 只 见 关羽 困 山岗
（西皮摇板）, 统领 雄师 龙虎斗   将士 英勇 战 徐州   关羽 被困 土山 口   文远顺 说 未 回头
（西皮摇板）, 中军 帐内 把 令 传   大小 三军 听 俺 言   今日 来 了 袁崇焕   他 略 守 宁远 威名 传   他 若 前来 把 我见   刀 出鞘 来 弓 上弦   人 来 与爷 把门 掩   且 听 探马 报 根源
（西皮导板）, 袁崇焕 坐船 中 窗前 眺望
（西皮原板）, 但 只 见 天 连 水 一 片 汪洋   众 岛屿 浮 海面 星棋 模样   碧 沉沉 昏惨惨 万顷 波光
（数板）, 标下 开 言道
（西皮摇板）, 二 卿保奏袁 督军   此 人 军略 朕 知名   当殿 草诏 传 圣旨
（西皮摇板）, 前往 东莞 召 督军   内侍 臣 摆驾 后宫 进   边关 军务朕 劳心
（西皮原板）, 有 孤王 坐 江山 风调雨顺   全 凭着 众 公卿 保定 乾坤   文凭 着 四 辅 臣 运筹 有 准   武 凭着 各 藩镇 平靖 边氛   独有 那 山 海关 兵 信 不稳   失事机 都 是 那 魏 贼 奸臣   今日 里 在 平台 君臣 闲论   专候 那 袁崇焕 陛见朕身
（西皮摇板）, 边关 兵 信 不安宁   特派贤卿 去 督军   想当年 宁远 孤城 数千 卒   杀退 胡儿廿 万 兵   贤卿 军略 朕知晓   不 知 此 番 怎 调停
（西皮原板）, 陛下 不必 过 劳神   细 听 微臣 把 话 论   人 怕 满 兵 如 狼 虎   俺 看 满 兵 如 蝇蚊   他 屡寇 边 把 能逞   都 由 边将 任 非人   臣 已 定下 备 边计   粮饷 充足
（西皮摇板）, 宁远 城外 打 一 仗   擒来纪信 小 儿郎   将 身且 坐 牛皮 帐   再 听 探马 报端 详
（西皮摇板）, 召见 过 文武 臣 早朝方 散   来 在 偏殿 且 休闲
（西皮摇板）, 帐 中 传下 一 枝 令   尊声 将军 听 分明   不分昼夜 前 屯进   督工 筑 城防 胡人
（西皮摇板）, 在 帐中 领 了 一 枝 令   去往 前屯 走 一程
（西皮摇板）, 人 来 与 爷门 掩定   且 听 探马 报 军情
（内西皮导板）, 匹 马 单身 出 大营
（西皮原板）, 山 海关 将士 集 如云   在 帐 中 奉 了 经略 令   去 到 前屯 筑城 抚民   虽然 我 官卑 职分 小   任劳任怨 报答 圣恩   扬鞭 催马 往前 进
（西皮摇板）, 岔路 两 条 要 问 分明
（西皮流水板）, 老汉 年老 目 不明   错 把 军官 认 督军   你 若 要 往前 屯进   两 条 山路 皆 能行   大路 须 行 两 天 整   小路 一 夜 就 到 前屯
（西皮摇板）, 说 什么 虎蛇 甚 凶猛   每 害 行人 在 途中   我 腰间 现有 青锋剑   哪怕 毒蛇 与 大虫   辞别 老丈 跨 能行   急忙 加鞭 奔 山峰
（西皮摇板）, 耿耿 星河 映 玉关   夜夜 巡更 各 营 前   若有 奸细 来 窥探   定 斩 人头 挂 高杆
（西皮摇板）, 亲巡 营哨 细 察看   遇见 行人 要 仔细 盘
（西皮摇板）, 古木 参天 黑荫浓   披荆斩棘 路 难 通   山兽 悲啼 毛 骨悚   腥 风 一 阵 为 哪宗
（西皮导板）, 手把 青锋 剑光明
（西皮摇板）, 斑 毛 猛虎山 内行   要 学 当年 周子隐   斩 却 猛虎 落 美名
（西皮摇板）, 又 听得 草 中 悉悉响
（西皮摇板）, 毒蛇 两 眼 明 如 灯   句句 应 了 樵夫 的话
（西皮摇板）, 快快 打马 往前 行
（西皮摇板）, 耳旁 又 听 更鼓 响   村 鸡 不 住 连声 鸣   袁崇焕 今日 好 侥幸   前面 定 是 前屯营
（西皮摇板）, 叫人 来 掌 红灯 忙 把 路引   又 听 得 树林 内有 马蹄声
（西皮快板）, 挥鞭 打 马来 观定   疏 灯 几 点 透 林丛   认定 灯光 将 马纵   见 一 军校 在 途中
（西皮快板）, 好 一 谋略 袁监军   奉命 关外 抚辽民   建筑 城池 工 代账   准备 胡人 犯 边廷   回头 便 把 差官叫
（数板）, 筑城 高
（西皮二六板）, 站在 城楼 把 话 讲   尊 一 声 贵 营官 细 听 端详   自从 大明 开 土壤   关门 外 三百 余 里 尽 是 一 片 荒凉   一 无 兵
（西皮摇板）, 这 都 是 监军 筹划 得当   料胡儿 再 不 能 犯 我 边疆
（西皮摇板）, 人 来 带 马 回 营往
（西皮摇板）, 再 与 众将 作 商量
（西皮原板）, 袁 参政 在 城楼 四 面 观望   尊 一 声 众 将军 细看 端详   那 一 角 日光 中 布满 棚 帐   帅 旗下 分 左右 竖 的 刀枪   众 兵丁 在 营 前此 来 彼往   那 营 中人 一 队 马上 提枪   又 只见 大 令旗 因 风 展荡   一 枝 兵齐 冲出 欲 上 战场
（西皮流水板）, 一点 忠义 满 将军   安排 妙计 记在 心   四 门 瓮城 埋 火炮   预备 及时 轰 胡兵
（西皮摇板）, 蒙 神圣 教 兵法 名扬 显姓   又 赐 我 白银 锤剿 贼 灭 金   非 是 我 背地 里 违抗 母命   将 门子 须 当 要 出仕 朝廷
（西皮摇板）, 上 一锤 要 取 那 金囚 性命   下一锤 能 挡 那 百万 雄兵   怀 藏 着 孙武志 精神 侥幸
（西皮摇板）, 小 畜生 敢 胆大 违悖 母亲
（西皮摇板）, 论 机谋 儿 未必 高于 韩信   论 武艺 怎 比 得 项羽 霸君   把 为 娘 金玉 言 全然 不 听
（西皮摇板）, 小 岳云 有 一 言 启禀 母亲   父 为 帅 掌 雄兵 威风凛凛   一 令 出山 摇动 鬼 伏 神钦   望 母亲 容 孩儿 习举 公瑾
（西皮摇板）, 那 周郎 烧 赤壁 使 人 寒心
（西皮摇板）, 警戒 兄 下 一 次 乞求 宽恕
（西皮摇板）, 哭声 高 惊动 我 坐卧不宁
（西皮原板）, 食君禄 当 与 君 社稷 平定   儿 虽 是 将 门子 身 小 年轻   遇 交锋 渴 来 时常 将 血饮   身 困倦 卧雕鞍 任 马游营   两 军 阵 遇敌 将 岂 可惜 命   却 不 知 凶 和 吉 谁 赴 幽冥   争功 劳 一时间 怎 到 极品   候班师 奏凯 回 才 得 放心   儿 须要 守 寒窗 苦 颜闵   也 免得 为 祖母 训教 殷勤
（西皮原板）, 我的儿 为 国家 奉命 征剿   牛头山 遭 围困 难以 回朝   食 王禄当 与 君 立功 报效   别 下 我 年迈 人 昼夜 心焦   杀 金 人奈 军中 缺少 粮草   怕 的 是 兵 一 乱 主帅 无谋   求 上苍 出 良将 金邦 灭掉   保 大 宋 归一 统 乐享 唐尧
（西皮原板）, 儿 夫君 拜 元戎 替 天 征剿   仗 主福 杀 金 人 草 不 留 苗
（西皮原板）, 离乱 时 正 所谓 将帅 荣耀   一 令出 如 皇宣 地动山摇
（西皮摇板）, 儿 虽是 女流 辈 蒙 父 教导   闲习 学 枪 和 剑 用 在 一 朝   金 兵 到 儿岂 肯 惧怕 逃走
（西皮摇板）, 番邦 贼 笑 我 家 少智 无谋
（西皮摇板）, 你 父帅 牛头山 必丧 敌手   大 宋帝龙 落在 浅水 滩头   两 军 阵 交锋 时 虎 羊 争斗
（西皮摇板）, 怎 比得 何 阳 女
（西皮摇板）, 报国心 忘 身家 岂 可 不 晓   敌番 兵 诚 恐怕 马 行 断桥   望姣 儿音 和信 路远 难找
（西皮摇板）, 思儿 身 隔 两 地 哭断 咽喉
（西皮摇板）, 书童 报 金囚贼 兴兵 骚扰   天助俺 将 门子 称心 逍遥
（西皮摇板）, 拿金 贼 好比 那 鹰 获 群鸟
（西皮摇板）, 我 量 他 纵 有 翅难 上 九 宵
（西皮原板）, 父 掌兵子 英雄 为国 尽忠
（西皮原板）, 众 家 将到 疆场 抖擞 威风
（西皮原板）, 两 军阵 交锋 时 休得 鲁莽
（西皮原板）, 兵 将 少 凭 谋略 以 弱敌 强
（西皮原板）,擒 番邦 一 小 卒 得 功 有 赏
（西皮原板）, 倘若 是 贪生 命 军法 不饶
（西皮摇板）, 擒番 将 表 名扬 凌烟阁 上
（西皮摇板）, 奴 岂 容 胡 蛮 贼 任意 猖狂
（西皮摇板）, 尊 祖母 叫 孙儿 鞭 敲 蹬响
（西皮摇板）, 且看 我姐 和 弟斩 将 擒王
（西皮摇板）, 这 也 是 事 急中 无 兵 少将
（西皮摇板）, 尊 婆母 免 悲伤 休要 愁肠
（二黄慢板）, 王宝钏 坐 窑内 泪痕 双 标   我 的 父空 作 了 一 品 当朝   嫌 贫穷 爱 富贵 世间 真少   反 把 那 父女 情 一旦 相抛   耳边 厢 又 听得 锣鼓 喊噪   想必 是 奴 的 父 来到 寒窑   我 只得 在 门前 将 人 盼瞧   西北 风吹 得 我 透骨 寒烧   我 这里 回 窑内 将门 闭 了   等候 了 薛平郎 转回 寒窑
（西皮导板）, 王允 奏本 心 太 惨
（西皮摇板）, 与 我 结仇 为 那般   降 了 烈马佩鞍轡   唐王 封俺 都督官   西 凉 下 国贼 造反   王允 上 殿 把 本 参   苏龙
（西皮摇板）, 忽听 窑外 有人捶   想必 平郎 转 回归   用手 开门 来 观看   为何 这 身 荣耀 回
（西皮导板）, 听他 言唬得 我 心惊胆怕
（西皮摇板）, 恨 爹爹 害 平郎 启奏 皇家   父 好比 秦 赵高 指鹿为马   父 好比 汉 萧何 私造 律法   父 好比奸 曹操 进宫 迫驾   父 好比 毛 延寿 怀抱 琵琶   身为 了 宰相 家 全 不 怕 被 人 来 骂   害 平郎 赶 女儿 所为 哪般
（西皮摇板）, 说 什么 秦 赵高 指鹿为马   说 什么 汉 萧何 私造 律法   说 什么 奸 曹操 进宫 迫驾   说 什么 毛 延寿 怀抱 琵琶   你 的 父 与 平贵 把 仇 结下   苦 害我 薛平 贵所 为 哪般
（西皮摇板）, 对着 相府 高声 骂   害 得 我 夫 平郎 难以 归家
（西皮摇板）, 耳边 听 得 号炮 炸   想 必是 魏虎贼 把 兵 发   辞别 三 姐 把 马 跨
（西皮摇板）, 扯住 衣衿 不 松开   你 要 走来 将 奴带   平郎夫吓
（西皮摇板）, 苦苦 拉 我 为 何来
（西皮摇板）, 此 去 定有 三五 载   你 把 为妻 怎 安排
（西皮摇板）, 三 姐 不 必 泪 双流   平贵言 来 听 从头   十 担 干柴 米 八 斗   你 在 寒窑度 春秋   守 得 我 来 你 就 守   守 不 得 我 来 把 我 丢
（西皮二六板）, 平郎 说话 莫 来由   妻子 言 来 听 从头   马备双鞍路 难 走   女 嫁 二 夫 骂 名流   三 年 五 载 将 你 守   富贵 荣华 一旦 丢   守 得 不过 你 也 要 守   饿死 寒 窑 不 回头
（西皮二六板）, 好 个 三 姐世 少有   落下 美名 万 古流
（西皮摇板）, 手挽平郎 出 窑门
（西皮摇板）, 平贵 带过 马缰绳
（西皮摇板）, 你 往西 凉 身保稳
（西皮摇板）, 你 在 寒窑 守 孤灯
（西皮摇板）, 但愿 旗 开 早 得胜
（西皮摇板）, 自有 书信 到 窑门
（西皮摇板）, 送夫 送到 西河 岸
（西皮摇板）, 叫人 难 舍 又 难分
（西皮摇板）, 空中 降下 无情剑
（西皮摇板）, 斩断 夫妻 两 离 分
（西皮摇板）, 流泪 眼 观 流 泪眼
（西皮摇板）, 断肠 人送 断肠人
（西皮摇板）, 王宝钏 舍 不 得 薛平贵
（西皮摇板）, 薛平贵 难 舍 妻 宝钏
（西皮摇板）, 夫妻们 分别 难 得见
（西皮摇板）, 实实 难 舍 夫妻情
（西皮摇板）, 耳边厢 听 得 鸣 锣鼓   莫不是 魏虎 把 兵 发   辞别 三 姐 把 马 跨
（西皮摇板）, 得胜 回来 转 回家
（西皮摇板）, 一 见 平郎 上 能行   不由 妻子 挂在 心   将 身 就 把 寒 窑 进   只 等 得胜 报喜 音
（内西皮导板）, 寡人 初次 领兵 将
（西皮摇板）, 可恨 李刚 太 欺情   去到 宫中 说 分明
（西皮摇板）, 朝 罢了 文武 臣 转回宫   往 见 了 我 爱 梓童 细说 端详
（西皮摇板）, 听 一言 来 心头 恨   大骂 李广乱 胡 行   内侍 臣 摆驾 金殿 进
（西皮摇板）, 快 宣 李广 上 龙庭
（西皮紧板）, 乌鸦 不 住 叫 连天   叫得 李广心 胆寒   莫不是 烟尘 又 起 反   弟兄 征剿 方才 还   是 与 不 是 上 金殿   参王驾来 问 王安
（西皮摇板）, 一 见 李广怒 冲冠   大骂 卖国 狗奸馋   你 弟兄 无故 起 反 念   要 夺 小王 锦 江山   人 来 与 孤 推出 斩
（西皮摇板）, 将 他 人头 挂 高竿
（西皮摇板）, 忠臣 无故 反遭斩   身受 惨刑 为 哪般
（西皮摇板）, 迈步 撩袍 上 金殿   马兰 要 讨监斩官
（内西皮导板）, 忠良 被 害 气冲牛斗
（西皮原板）, 不由人 一 阵阵 珠 泪 交流   曾 记得 史妃 谋害 太后   我 弟兄 保 太子 逃出 龙 楼   我 二 弟 名 李文 同时 争斗   在 北门 身 中 箭 一 命 罢休   可叹 我 秉 忠心 反 要 斩首   再 不 能 领 人马 共 统 貔貅   再 不 能 在朝 房 同 把
（西皮二六板）, 本奏   再 不 能 在 金殿 共 定 机谋   再 不 能 到 春来 观看 桃柳   再 不 能 到 夏来 避暑 在 高楼   再不 能 到 秋来 同 饮 菊花酒   再 不 能 到 冬来 教子 攻读 春秋   悲切切 来 至 在 法场 口   这 就 是 忠良 臣 下场 头
（数板）, 我 本 江湖 一 豪 家
（数板）, 可叹 红颜 命运 差
（二黄原板）, 小 张聪 生来 命运 低   一 心 要 穿 锦 绣衣   绫罗缎 匹 任 你 取   一 心 又 想 美貌 妻   二八 佳人 陪伴 你   你 一心 又 想 作 官职   七 品 郎官 你 作起   小官 又 怕 大官欺   当朝 太 宰封 了 你   你 一心 又 想 作 皇帝   万里 江山 让与 你   你 一心 又 想上 天梯   上 天梯儿 高 搭起   一 心 又 想 作 玉帝   金童玉女 服侍 你   你 岂 不 怕 那 五 雷殛   阴阳 宝扇扇化 了 你
